Name,Yr/Seas,Year,Season,Date,Month,Time,Citizenship,Sex,Age,Oxy,Ascents,Dth,Host,Cause,Altitude
Tenzing Norgay,1953 Spr,1953,1,29-May,5,11:30,India,1,39,1,1,0,Nepal,NA,NA
Edmund Percival Hillary,1953 Spr,1953,1,29-May,5,11:30,New Zealand,1,33,1,1,0,Nepal,NA,NA
Juerg P. Marmet,1956 Spr,1956,1,23-May,5,14:00,Switzerland,1,28,1,1,0,Nepal,NA,NA
Ernst Schmied,1956 Spr,1956,1,23-May,5,14:00,Switzerland,1,31,1,1,0,Nepal,NA,NA
Adolf (Dolf) Reist,1956 Spr,1956,1,24-May,5,11:00,Switzerland,1,35,1,1,0,Nepal,NA,NA
Hans-Rudolf Von Gunten,1956 Spr,1956,1,24-May,5,11:00,Switzerland,1,27,1,1,0,Nepal,NA,NA
Gombu (Konbu),1960 Spr,1960,1,25-May,5,2:05,China,1,25,1,1,0,China,NA,NA
Ying-Hua Qu,1960 Spr,1960,1,25-May,5,2:05,China,1,25,1,1,0,China,NA,NA
Fu-Chou Wang,1960 Spr,1960,1,25-May,5,2:05,China,1,24,1,1,0,China,NA,NA
Nawang Gombu,1963 Spr,1963,1,1-May,5,13:00,India,1,26,1,1,0,Nepal,NA,NA
James W. (Jim) Whittaker,1963 Spr,1963,1,1-May,5,13:00,USA,1,34,1,1,0,Nepal,NA,NA
Barry Chapman Bishop,1963 Spr,1963,1,22-May,5,15:30,USA,1,31,1,1,0,Nepal,NA,NA
Luther Gerald (Lute) Jerstad,1963 Spr,1963,1,22-May,5,15:30,USA,1,26,1,1,0,Nepal,NA,NA
Thomas Frederick Hornbein,1963 Spr,1963,1,22-May,5,18:30,USA,1,32,1,1,0,Nepal,NA,NA
William Francis (Willi) Unsoeld,1963 Spr,1963,1,22-May,5,18:30,USA,1,36,1,1,0,Nepal,NA,NA
Nawang Gombu,1965 Spr,1965,1,20-May,5,9:30,India,1,28,1,1,0,Nepal,NA,NA
Autar Singh Cheema,1965 Spr,1965,1,20-May,5,9:30,India,1,27,1,1,0,Nepal,NA,NA
Sonam Gyatso,1965 Spr,1965,1,22-May,5,12:30,India,1,42,1,1,0,Nepal,NA,NA
Sonam Wangyal,1965 Spr,1965,1,22-May,5,12:30,India,1,23,1,1,0,Nepal,NA,NA
Ang Kami Sherpa,1965 Spr,1965,1,24-May,5,10:45,India,1,NA,1,1,0,Nepal,NA,NA
C. P. Vohra,1965 Spr,1965,1,24-May,5,10:45,India,1,30,1,1,0,Nepal,NA,NA
Hari Pal Singh Ahluwalia,1965 Spr,1965,1,29-May,5,10:00,India,1,27,1,1,0,Nepal,NA,NA
Harish Chandra Singh Rawat,1965 Spr,1965,1,29-May,5,10:00,India,1,30,1,1,0,Nepal,NA,NA
"Phu Dorje Sherpa (Khumjung, Khumbu)",1965 Spr,1965,1,29-May,5,10:00,Nepal,1,27,1,1,0,Nepal,NA,NA
Teruo Matsuura,1970 Spr,1970,1,11-May,5,9:10,Japan,1,36,1,1,0,Nepal,NA,NA
Naomi Uemura,1970 Spr,1970,1,11-May,5,9:10,Japan,1,29,1,1,0,Nepal,NA,NA
Katsutoshi Hirabayashi,1970 Spr,1970,1,12-May,5,9:55,Japan,1,35,1,1,0,Nepal,NA,NA
"Chotare Sherpa (Namche Bazar, Khumbu)",1970 Spr,1970,1,12-May,5,9:55,Nepal,1,37,1,1,0,Nepal,NA,NA
Rinaldo Carrel,1973 Spr,1973,1,5-May,5,12:39,Italy,1,21,1,1,0,Nepal,NA,NA
Mirko Minuzzo,1973 Spr,1973,1,5-May,5,12:39,Italy,1,26,1,1,0,Nepal,NA,NA
"Lhakpa Tenzing Sherpa (Namche Bazar, Khumbu)",1973 Spr,1973,1,5-May,5,12:39,Nepal,1,32,1,1,0,Nepal,NA,NA
"Shambu Tamang (Lisankhu, Sindhupalchowk)",1973 Spr,1973,1,5-May,5,12:39,Nepal,1,17,1,1,0,Nepal,NA,NA
Claudio Benedetti,1973 Spr,1973,1,7-May,5,13:00,Italy,1,27,1,1,0,Nepal,NA,NA
Virginio Epis,1973 Spr,1973,1,7-May,5,13:00,Italy,1,41,1,1,0,Nepal,NA,NA
Fabrizio Innamorati,1973 Spr,1973,1,7-May,5,13:00,Italy,1,30,1,1,0,Nepal,NA,NA
"Sonam Gyaltzen Sherpa (Bagam, Taksindu, Solukhumbu)",1973 Spr,1973,1,7-May,5,13:00,Nepal,1,29,1,1,0,Nepal,NA,NA
Hisashi Ishiguro,1973 Aut,1973,3,26-Oct,10,16:30,Japan,1,28,1,1,0,Nepal,NA,NA
Yasuo Kato,1973 Aut,1973,3,26-Oct,10,16:30,Japan,1,24,1,1,0,Nepal,NA,NA
"Ang Tshering Sherpa (Namche Bazar, Khumbu)",1975 Spr,1975,1,16-May,5,12:30,Nepal,1,25,1,1,0,Nepal,NA,NA
Junko Tabei,1975 Spr,1975,1,16-May,5,12:30,Japan,0,35,1,1,0,Nepal,NA,NA
Da Phuntsok (Darphuntso),1975 Spr,1975,1,27-May,5,12:15,China,1,30,1,1,0,China,NA,NA
Kunga Pasang (Gonga Basang),1975 Spr,1975,1,27-May,5,12:15,China,1,27,1,1,0,China,NA,NA
Lhotse (Louze),1975 Spr,1975,1,27-May,5,12:15,China,1,36,1,1,0,China,NA,NA
Ngapo Khyen (Abu Qin),1975 Spr,1975,1,27-May,5,12:15,China,1,18,1,1,0,China,NA,NA
"Phantog (Phandu, Pando)",1975 Spr,1975,1,27-May,5,12:15,China,0,36,1,1,0,China,NA,NA
Samdrup (Samdruk),1975 Spr,1975,1,27-May,5,12:15,China,1,22,1,1,0,China,NA,NA
Sonam Norbu,1975 Spr,1975,1,27-May,5,12:15,China,1,28,1,1,0,China,NA,NA
Tsering Tobgyal,1975 Spr,1975,1,27-May,5,12:15,China,1,NA,1,1,0,China,NA,NA
Sheng-Fu Hou,1975 Spr,1975,1,27-May,5,12:30,China,1,35,1,1,0,China,NA,NA
Dougal Haston,1975 Aut,1975,3,24-Sep,9,18:00,UK,1,33,1,1,0,Nepal,NA,NA
Douglas Keith (Doug) Scott,1975 Aut,1975,3,24-Sep,9,18:00,UK,1,34,1,1,0,Nepal,NA,NA
Peter David Boardman,1975 Aut,1975,3,26-Sep,9,13:10,UK,1,24,1,1,0,Nepal,NA,NA
"Pertemba Sherpa (Khumjung, Khumbu)",1975 Aut,1975,3,26-Sep,9,13:10,Nepal,1,27,1,1,0,Nepal,NA,NA
Michael P. (Bronco) Lane,1976 Spr,1976,1,16-May,5,15:15,UK,1,30,1,1,0,Nepal,NA,NA
John Henry (Brummie) Stokes,1976 Spr,1976,1,16-May,5,15:15,UK,1,30,1,1,0,Nepal,NA,NA
Chris Howard Chandler,1976 Aut,1976,3,8-Oct,10,16:14,USA,1,28,1,1,0,Nepal,NA,NA
Robert (Bob) Cormack,1976 Aut,1976,3,8-Oct,10,16:14,USA,1,30,1,1,0,Nepal,NA,NA
Sang-Don Ko,1977 Aut,1977,3,15-Sep,9,12:50,S Korea,1,28,1,1,0,Nepal,NA,NA
"Pemba Nurbu/Norbu Sherpa (Namche Bazar, Khumbu)",1977 Aut,1977,3,15-Sep,9,12:50,Nepal,1,28,1,1,0,Nepal,NA,NA
Horst Bergmann,1978 Spr,1978,1,3-May,5,12:50,Austria,1,36,1,1,0,Nepal,NA,NA
Wolfgang Nairz,1978 Spr,1978,1,3-May,5,12:50,Austria,1,33,1,1,0,Nepal,NA,NA
Hans Robert Schauer,1978 Spr,1978,1,3-May,5,12:50,Austria,1,24,1,1,0,Nepal,NA,NA
"Ang Phu Sherpa (Khumjung, Khumbu)",1978 Spr,1978,1,3-May,5,12:50,Nepal,1,27,1,1,0,Nepal,NA,NA
Peter Habeler,1978 Spr,1978,1,8-May,5,13:15,Austria,1,35,0,1,0,Nepal,NA,NA
Reinhold Messner,1978 Spr,1978,1,8-May,5,13:15,Italy,1,33,0,1,0,Nepal,NA,NA
Reinhard Karl,1978 Spr,1978,1,11-May,5,NA,W Germany,1,31,1,1,0,Nepal,NA,NA
Oswald Oelz,1978 Spr,1978,1,11-May,5,NA,Austria,1,35,1,1,0,Nepal,NA,NA
Franz Oppurg,1978 Spr,1978,1,14-May,5,NA,Austria,1,29,1,1,0,Nepal,NA,NA
Josef Mack,1978 Aut,1978,3,14-Oct,10,16:30,W Germany,1,28,1,1,0,Nepal,NA,NA
Hubert Hillmaier,1978 Aut,1978,3,14-Oct,10,17:00,W Germany,1,34,1,1,0,Nepal,NA,NA
Hans Engl,1978 Aut,1978,3,14-Oct,10,17:15,W Germany,1,34,0,1,0,Nepal,NA,NA
Jean Afanassieff,1978 Aut,1978,3,15-Oct,10,13:35,France,1,25,1,1,0,Nepal,NA,NA
Nicolas Jaeger,1978 Aut,1978,3,15-Oct,10,13:35,France,1,31,1,1,0,Nepal,NA,NA
Kurt Diemberger,1978 Aut,1978,3,15-Oct,10,13:45,Austria,1,46,1,1,0,Nepal,NA,NA
Pierre Mazeaud,1978 Aut,1978,3,15-Oct,10,13:45,France,1,49,1,1,0,Nepal,NA,NA
Robert Allenbach,1978 Aut,1978,3,16-Oct,10,13:45,Switzerland,1,28,1,1,0,Nepal,NA,NA
Siegfried (Sigi) Hupfauer,1978 Aut,1978,3,16-Oct,10,13:45,W Germany,1,37,1,1,0,Nepal,NA,NA
Wilhelm Klimek,1978 Aut,1978,3,16-Oct,10,13:45,W Germany,1,37,1,1,0,Nepal,NA,NA
Wanda Rutkiewicz,1978 Aut,1978,3,16-Oct,10,13:45,Poland,0,35,1,1,0,Nepal,NA,NA
"Ang Dorje Sherpa (Thamo, Khumbu)",1978 Aut,1978,3,16-Oct,10,13:45,Nepal,1,29,0,1,0,Nepal,NA,NA
"Ang Kami Sherpa (Tsermadingma, Solukhumbu)",1978 Aut,1978,3,16-Oct,10,13:45,Nepal,1,NA,1,1,0,Nepal,NA,NA
"Mingma Nuru Sherpa (Khumjung, Khumbu)",1978 Aut,1978,3,16-Oct,10,13:45,Nepal,1,NA,0,1,0,Nepal,NA,NA
Bernd Kullmann,1978 Aut,1978,3,17-Oct,10,NA,W Germany,1,24,1,1,0,Nepal,NA,NA
Georg Ritter,1978 Aut,1978,3,17-Oct,10,NA,W Germany,1,31,1,1,0,Nepal,NA,NA
Andrej Stremfelj,1979 Spr,1979,1,13-May,5,13:51,Yugoslavia,1,22,1,1,0,Nepal,NA,NA
Jernej (Nejc) Zaplotnik,1979 Spr,1979,1,13-May,5,13:51,Yugoslavia,1,27,1,1,0,Nepal,NA,NA
Stanislav (Stane) Belak-Srauf,1979 Spr,1979,1,15-May,5,14:30,Yugoslavia,1,38,1,1,0,Nepal,NA,NA
Stipe Bozic,1979 Spr,1979,1,15-May,5,14:30,Yugoslavia,1,28,1,1,0,Nepal,NA,NA
"Ang Phu Sherpa (Khumjung, Khumbu)",1979 Spr,1979,1,15-May,5,14:30,Nepal,1,28,1,0,1,Nepal,Fall,7600m
Gerhard Schmatz,1979 Aut,1979,3,1-Oct,10,14:00,W Germany,1,50,1,1,0,Nepal,NA,NA
"Lhakpa Gyalzen/Gyalu Sherpa (Phortse, Khumbu)",1979 Aut,1979,3,1-Oct,10,14:00,Nepal,1,30,1,1,0,Nepal,NA,NA
"Pertemba Sherpa (Khumjung, Khumbu)",1979 Aut,1979,3,1-Oct,10,14:00,Nepal,1,31,1,1,0,Nepal,NA,NA
Johann (Hans) Von Kaenel,1979 Aut,1979,3,1-Oct,10,14:00,Switzerland,1,38,1,1,0,Nepal,NA,NA
Hermann Warth,1979 Aut,1979,3,1-Oct,10,14:00,W Germany,1,38,1,1,0,Nepal,NA,NA
Nicholas Victor Aloysius (Nick) Banks,1979 Aut,1979,3,2-Oct,10,13:00,New Zealand,1,27,1,1,0,Nepal,NA,NA
Tilman Fischbach,1979 Aut,1979,3,2-Oct,10,13:00,W Germany,1,31,1,1,0,Nepal,NA,NA
Raymond Edward (Ray) Genet,1979 Aut,1979,3,2-Oct,10,13:00,USA,1,48,1,0,1,Nepal,Exhaustion,8000m
Guenter Kaempfe,1979 Aut,1979,3,2-Oct,10,13:00,W Germany,1,46,1,1,0,Nepal,NA,NA
Hannelore Schmatz,1979 Aut,1979,3,2-Oct,10,13:00,W Germany,0,39,1,0,1,Nepal,Exhaustion,8350m
"Ang Jangbu (Ang Jambu) Sherpa (Pangboche, Khumbu)",1979 Aut,1979,3,2-Oct,10,13:00,Nepal,1,21,1,1,0,Nepal,NA,NA
"Ang Phurba Sherpa (Namche Bazar, Khumbu)",1979 Aut,1979,3,2-Oct,10,13:00,Nepal,1,22,1,1,0,Nepal,NA,NA
"Sungdare Sherpa (Pangboche, Khumbu)",1979 Aut,1979,3,2-Oct,10,13:00,Nepal,1,24,1,1,0,Nepal,NA,NA
Leszek Cichy,1979 Win,1979,4,17-Feb,2,14:30,Poland,1,28,1,1,0,Nepal,NA,NA
Krzysztof Wielicki,1979 Win,1979,4,17-Feb,2,14:30,Poland,1,30,1,1,0,Nepal,NA,NA
Yasuo Kato,1980 Spr,1980,1,3-May,5,20:55,Japan,1,31,1,1,0,China,NA,NA
Tsuneo Shigehiro,1980 Spr,1980,1,10-May,5,16:50,Japan,1,32,1,1,0,China,NA,NA
Takashi Ozaki,1980 Spr,1980,1,10-May,5,17:02,Japan,1,27,1,1,0,China,NA,NA
"Pasang Temba Sherpa (Ghat, Khumbu)",1980 Spr,1980,1,14-May,5,15:30,Nepal,1,29,1,1,0,Nepal,NA,NA
Martin Zabaleta Larburu,1980 Spr,1980,1,14-May,5,15:30,Spain,1,30,1,1,0,Nepal,NA,NA
Andrzej (Leszek) Czok,1980 Spr,1980,1,19-May,5,16:00,Poland,1,31,1,1,0,Nepal,NA,NA
Jerzy Kukuczka,1980 Spr,1980,1,19-May,5,16:00,Poland,1,32,1,1,0,Nepal,NA,NA
Reinhold Messner,1980 Sum,1980,2,20-Aug,8,13:00,Italy,1,35,0,1,0,China,NA,NA
Christopher M. (Kris) Kopczynski,1981 Aut,1981,3,21-Oct,10,11:29,USA,1,33,1,1,0,Nepal,NA,NA
"Sungdare Sherpa (Pangboche, Khumbu)",1981 Aut,1981,3,21-Oct,10,11:29,Nepal,1,26,1,1,0,Nepal,NA,NA
Christopher J. (Chris) Pizzo,1981 Aut,1981,3,24-Oct,10,12:30,USA,1,32,1,1,0,Nepal,NA,NA
"Young/Yong Tenzing Sherpa (Namche Bazar, Khumbu)",1981 Aut,1981,3,24-Oct,10,12:30,Nepal,1,28,1,1,0,Nepal,NA,NA
Peter Harvey Hackett,1981 Aut,1981,3,24-Oct,10,15:30,USA,1,33,1,1,0,Nepal,NA,NA
Vladimir Sergeevich Balyberdin,1982 Spr,1982,1,4-May,5,14:35,USSR,1,32,0,1,0,Nepal,NA,NA
Eduard Vikentevich Myslovsky,1982 Spr,1982,1,4-May,5,14:35,USSR,1,44,1,1,0,Nepal,NA,NA
Sergei Igorevich Bershov,1982 Spr,1982,1,4-May,5,23:30,USSR,1,35,1,1,0,Nepal,NA,NA
Mikhail Mikhailovich Turkevich,1982 Spr,1982,1,4-May,5,23:30,USSR,1,29,1,1,0,Nepal,NA,NA
Sergei Borisovich Efimov,1982 Spr,1982,1,5-May,5,13:20,USSR,1,38,1,1,0,Nepal,NA,NA
Valentin Andreevich Ivanov,1982 Spr,1982,1,5-May,5,13:20,USSR,1,40,1,1,0,Nepal,NA,NA
Valeri Nikolaevich Khrishchati,1982 Spr,1982,1,8-May,5,13:40,USSR,1,30,1,1,0,Nepal,NA,NA
Kazbek Shakimovich Valiev,1982 Spr,1982,1,8-May,5,13:40,USSR,1,29,1,1,0,Nepal,NA,NA
Yuri Fedorovich Golodov,1982 Spr,1982,1,9-May,5,11:00,USSR,1,38,1,1,0,Nepal,NA,NA
Valeri Vasipevich Khomutov,1982 Spr,1982,1,9-May,5,11:00,USSR,1,40,1,1,0,Nepal,NA,NA
Vladimir Nikolaevich Puchkov,1982 Spr,1982,1,9-May,5,11:00,USSR,1,33,1,1,0,Nepal,NA,NA
"Lhakpa Dorje Sherpa (Khunde, Khumbu)",1982 Aut,1982,3,5-Oct,10,9:30,Nepal,1,27,1,1,0,Nepal,NA,NA
"Sungdare Sherpa (Pangboche, Khumbu)",1982 Aut,1982,3,5-Oct,10,9:30,Nepal,1,27,1,1,0,Nepal,NA,NA
Laurie Skreslet,1982 Aut,1982,3,5-Oct,10,9:30,Canada,1,32,1,1,0,Nepal,NA,NA
Patrick (Pat) Morrow,1982 Aut,1982,3,7-Oct,10,11:30,Canada,1,29,1,1,0,Nepal,NA,NA
"Lhakpa Tshering Sherpa (Khunde, Khumbu)",1982 Aut,1982,3,7-Oct,10,11:30,Nepal,1,26,1,1,0,Nepal,NA,NA
"Pema Dorje Sherpa (Khumjung, Khumbu)",1982 Aut,1982,3,7-Oct,10,11:30,Nepal,1,24,1,1,0,Nepal,NA,NA
Yasuo Kato,1982 Win,1982,4,27-Dec,12,15:55,Japan,1,33,1,0,1,Nepal,Fall,8800m
David Finlay Breashears,1983 Spr,1983,1,7-May,5,16:00,USA,1,27,1,1,0,Nepal,NA,NA
Peter Jamieson,1983 Spr,1983,1,7-May,5,16:00,USA,1,27,1,1,0,Nepal,NA,NA
Gerard A. (Gerry) Roach,1983 Spr,1983,1,7-May,5,16:00,USA,1,39,1,1,0,Nepal,NA,NA
"Ang Rita Sherpa (Yilajung, Khumbu)",1983 Spr,1983,1,7-May,5,16:00,Nepal,1,34,1,1,0,Nepal,NA,NA
Lawrence Darius (Larry) Nielson,1983 Spr,1983,1,7-May,5,16:20,USA,1,35,0,1,0,Nepal,NA,NA
Gary Robert Neptune,1983 Spr,1983,1,14-May,5,13:30,USA,1,37,1,1,0,Nepal,NA,NA
"Lhakpa Dorje Sherpa (Phortse, Khumbu)",1983 Spr,1983,1,14-May,5,13:30,Nepal,1,25,1,1,0,Nepal,NA,NA
James H. (Jim) States,1983 Spr,1983,1,14-May,5,13:30,USA,1,37,1,1,0,Nepal,NA,NA
Carlos Paltenghe Rockhold Buhler,1983 Aut,1983,3,8-Oct,10,14:45,USA,1,28,1,1,0,China,NA,NA
Kim A. Momb,1983 Aut,1983,3,8-Oct,10,14:45,USA,1,27,1,1,0,China,NA,NA
Louis French (Lou) Reichardt,1983 Aut,1983,3,8-Oct,10,14:45,USA,1,41,1,1,0,China,NA,NA
Haruyuki Endo,1983 Aut,1983,3,8-Oct,10,16:30,Japan,1,26,0,1,0,Nepal,NA,NA
Haruichi Kawamura,1983 Aut,1983,3,8-Oct,10,16:30,Japan,1,35,0,1,0,Nepal,NA,NA
Shomi Suzuki,1983 Aut,1983,3,8-Oct,10,16:30,Japan,1,30,0,1,0,Nepal,NA,NA
Hironobu Kamuro,1983 Aut,1983,3,8-Oct,10,16:50,Japan,1,31,0,0,1,Nepal,Fall,8800m
Hiroshi Yoshino,1983 Aut,1983,3,8-Oct,10,16:50,Japan,1,33,0,0,1,Nepal,Fall,8800m
George Henry Lowe,1983 Aut,1983,3,9-Oct,10,10:30,USA,1,39,1,1,0,China,NA,NA
Jay L. Cassell,1983 Aut,1983,3,9-Oct,10,14:30,USA,1,35,1,1,0,China,NA,NA
Daniel Allen (Dan) Reid,1983 Aut,1983,3,9-Oct,10,14:30,USA,1,41,1,1,0,China,NA,NA
Takashi Ozaki,1983 Win,1983,4,16-Dec,12,8:00,Japan,1,31,1,1,0,Nepal,NA,NA
Noboru Yamada,1983 Win,1983,4,16-Dec,12,9:00,Japan,1,33,1,1,0,Nepal,NA,NA
Kazunari Murakami,1983 Win,1983,4,16-Dec,12,10:30,Japan,1,28,1,1,0,Nepal,NA,NA
"Nawang Yonden Sherpa (Beding, Dolakha)",1983 Win,1983,4,16-Dec,12,10:30,Nepal,1,31,1,1,0,Nepal,NA,NA
Christo Ivanov Prodanov,1984 Spr,1984,1,20-Apr,4,18:15,Bulgaria,1,41,0,0,1,Nepal,Exposure/Frostbite,8600m
Metodi Stefanov Savov,1984 Spr,1984,1,8-May,5,17:15,Bulgaria,1,36,1,1,0,Nepal,NA,NA
Ivan Georgiev Valtchev,1984 Spr,1984,1,8-May,5,17:15,Bulgaria,1,36,1,1,0,Nepal,NA,NA
Kiril Dimitrov Doskov,1984 Spr,1984,1,9-May,5,10:15,Bulgaria,1,25,1,1,0,Nepal,NA,NA
Nikolay Mihaylov Petkov,1984 Spr,1984,1,9-May,5,10:15,Bulgaria,1,25,1,1,0,Nepal,NA,NA
Phu Dorjee Sherpa,1984 Spr,1984,1,9-May,5,12:30,India,1,34,1,1,0,Nepal,NA,NA
Bachendri Pal,1984 Spr,1984,1,23-May,5,13:07,India,0,29,1,1,0,Nepal,NA,NA
"Ang Dorje Sherpa (Thamo, Khumbu)",1984 Spr,1984,1,23-May,5,13:07,Nepal,1,35,0,1,0,Nepal,NA,NA
Dorje Lhatoo Sherpa,1984 Spr,1984,1,23-May,5,13:07,India,1,39,1,1,0,Nepal,NA,NA
Sonam Palzor Sarapa,1984 Spr,1984,1,23-May,5,13:22,India,1,40,1,1,0,Nepal,NA,NA
Timothy John Macartney-Snape,1984 Aut,1984,3,3-Oct,10,20:15,Australia,1,28,0,1,0,China,NA,NA
Gregory (Greg) Mortimer,1984 Aut,1984,3,3-Oct,10,20:15,Australia,1,31,0,1,0,China,NA,NA
Zoltan Demjan,1984 Aut,1984,3,15-Oct,10,15:15,Czechoslovakia,1,29,0,1,0,Nepal,NA,NA
Jozef Psotka,1984 Aut,1984,3,15-Oct,10,15:15,Czechoslovakia,1,50,0,0,1,Nepal,Fall,7900m
"Ang Rita Sherpa (Yilajung, Khumbu)",1984 Aut,1984,3,15-Oct,10,15:15,Nepal,1,36,0,1,0,Nepal,NA,NA
Philip Michael (Phil) Ershler,1984 Aut,1984,3,20-Oct,10,15:45,USA,1,33,1,1,0,China,NA,NA
Christian John Storey (Chris) Bonington,1985 Spr,1985,1,21-Apr,4,9:30,UK,1,50,1,1,0,Nepal,NA,NA
Odd Eliassen,1985 Spr,1985,1,21-Apr,4,9:30,Norway,1,40,1,1,0,Nepal,NA,NA
Bjorn Age Myrer-Lund,1985 Spr,1985,1,21-Apr,4,9:30,Norway,1,33,1,1,0,Nepal,NA,NA
"Dawa Norbu Sherpa (Yilajung, Khumbu)",1985 Spr,1985,1,21-Apr,4,9:30,Nepal,1,27,1,1,0,Nepal,NA,NA
"Lhakpa Dorje (Ang Lhakpa) Sherpa (Khunde, Khumbu)",1985 Spr,1985,1,21-Apr,4,9:30,Nepal,1,26,1,1,0,Nepal,NA,NA
"Pertemba Sherpa (Khumjung, Khumbu)",1985 Spr,1985,1,21-Apr,4,9:30,Nepal,1,37,1,1,0,Nepal,NA,NA
Stein P. Aasheim,1985 Spr,1985,1,29-Apr,4,9:25,Norway,1,34,1,1,0,Nepal,NA,NA
Ralph Hoibakk,1985 Spr,1985,1,29-Apr,4,9:25,Norway,1,47,1,1,0,Nepal,NA,NA
Arne Ludwig R. Naess Jr.,1985 Spr,1985,1,29-Apr,4,9:25,Norway,1,47,1,1,0,Nepal,NA,NA
Havard Nesheim,1985 Spr,1985,1,29-Apr,4,9:25,Norway,1,29,1,1,0,Nepal,NA,NA
"Ang Rita Sherpa (Yilajung, Khumbu)",1985 Spr,1985,1,29-Apr,4,9:25,Nepal,1,36,0,1,0,Nepal,NA,NA
"Chowang Rinzi Sherpa (Namche Bazar, Khumbu)",1985 Spr,1985,1,29-Apr,4,9:25,Nepal,1,35,1,1,0,Nepal,NA,NA
"Pema Dorje Sherpa (Khumjung, Khumbu)",1985 Spr,1985,1,29-Apr,4,9:25,Nepal,1,26,1,1,0,Nepal,NA,NA
"Sungdare Sherpa (Pangboche, Khumbu)",1985 Spr,1985,1,29-Apr,4,9:25,Nepal,1,30,1,1,0,Nepal,NA,NA
Richard Daniel (Dick) Bass,1985 Spr,1985,1,30-Apr,4,NA,USA,1,55,1,1,0,Nepal,NA,NA
David Finlay Breashears,1985 Spr,1985,1,30-Apr,4,NA,USA,1,29,1,1,0,Nepal,NA,NA
"Ang Phurba Sherpa (Thami, Khumbu)",1985 Spr,1985,1,30-Apr,4,NA,Nepal,1,23,1,1,0,Nepal,NA,NA
Oscar Cadiach Puig,1985 Sum,1985,2,28-Aug,8,18:20,Spain,1,32,1,1,0,China,NA,NA
"Ang Karma Sherpa (Dhorphu, Salleri, Solukhumbu)",1985 Sum,1985,2,28-Aug,8,18:20,Nepal,1,26,1,1,0,China,NA,NA
Narayan Kumar Shrestha,1985 Sum,1985,2,28-Aug,8,18:20,Nepal,1,25,1,1,0,China,NA,NA
Antoni Sors Ferrer,1985 Sum,1985,2,28-Aug,8,18:20,Spain,1,35,1,1,0,China,NA,NA
"Shambu Tamang (Lisankhu, Sindhupalchowk)",1985 Sum,1985,2,28-Aug,8,18:20,Nepal,1,29,1,1,0,China,NA,NA
Carles Valles Ocana,1985 Sum,1985,2,28-Aug,8,18:20,Spain,1,27,1,1,0,China,NA,NA
Etsuo Akutsu,1985 Aut,1985,3,30-Oct,10,NA,Japan,1,47,1,1,0,Nepal,NA,NA
Satoshi Kimoto,1985 Aut,1985,3,30-Oct,10,NA,Japan,1,29,1,1,0,Nepal,NA,NA
Hideji Nazuka,1985 Aut,1985,3,30-Oct,10,NA,Japan,1,30,1,1,0,Nepal,NA,NA
Teruo Saegusa,1985 Aut,1985,3,30-Oct,10,NA,Japan,1,28,1,1,0,Nepal,NA,NA
Mitsuyoshi Sato,1985 Aut,1985,3,30-Oct,10,NA,Japan,1,24,1,1,0,Nepal,NA,NA
Kuniaki Yagihara,1985 Aut,1985,3,30-Oct,10,9:50,Japan,1,38,1,1,0,Nepal,NA,NA
Noboru Yamada,1985 Aut,1985,3,30-Oct,10,10:00,Japan,1,35,0,1,0,Nepal,NA,NA
Dwayne Congdon,1986 Spr,1986,1,20-May,5,21:00,Canada,1,29,1,1,0,China,NA,NA
Sharon Wood,1986 Spr,1986,1,20-May,5,21:00,Canada,0,29,1,1,0,China,NA,NA
Erhard Loretan,1986 Sum,1986,2,30-Aug,8,14:30,Switzerland,1,27,0,1,0,China,NA,NA
Jean Fernand Troillet,1986 Sum,1986,2,30-Aug,8,14:30,Switzerland,1,38,0,1,0,China,NA,NA
Young-Ho Heo,1987 Win,1987,4,22-Dec,12,14:20,S Korea,1,33,1,1,0,Nepal,NA,NA
"Ang Rita Sherpa (Yilajung, Khumbu)",1987 Win,1987,4,22-Dec,12,14:20,Nepal,1,39,0,1,0,Nepal,NA,NA
Tsering Dorje (Cerin Duoji),1988 Spr,1988,1,5-May,5,9:30,China,1,27,1,1,0,China,NA,NA
"Lhakpa Nuru (Ang Lhakpa) Sherpa (Khunde, Khumbu)",1988 Spr,1988,1,5-May,5,9:30,Nepal,1,24,1,1,0,China,NA,NA
Noboru Yamada,1988 Spr,1988,1,5-May,5,9:30,Japan,1,38,1,1,0,China,NA,NA
Zhi-Xin Li,1988 Spr,1988,1,5-May,5,10:30,China,1,25,1,1,0,China,NA,NA
"Lhakpa Sonam Sherpa (Phortse, Khumbu)",1988 Spr,1988,1,5-May,5,10:45,Nepal,1,31,1,1,0,China,NA,NA
Munehiko Yamamoto,1988 Spr,1988,1,5-May,5,11:00,Japan,1,28,1,1,0,China,NA,NA
Shoji Nakamura,1988 Spr,1988,1,5-May,5,11:15,Japan,1,45,1,1,0,China,NA,NA
Susumu Nakamura,1988 Spr,1988,1,5-May,5,11:15,Japan,1,42,1,1,0,China,NA,NA
Teruo Saegusa,1988 Spr,1988,1,5-May,5,11:15,Japan,1,30,1,1,0,China,NA,NA
Da Ciren (Da Cering),1988 Spr,1988,1,5-May,5,12:48,China,1,37,1,1,0,China,NA,NA
Rinchen Phuntsok (Rinchen Phinzo),1988 Spr,1988,1,5-May,5,12:48,China,1,44,1,1,0,China,NA,NA
